OBJECTID,OBJECTID_1,FACILITYID,Type,FULLADDR,OPERDAYS,OPERHOURS,PARKAREA,PARKURL,NUMPARKING,RESTROOM,ADACOMPLY,CAMPING,SWIMMING,HIKING,FISHING,PICNIC,BOATING,HUNTING,ROADCYCLE,MTBCYCLE,PLAYGROUND,GOLF,SKI,SOCCER,BASEBALL,SOFTBALL,BASKETBALL,TENNIS,SKATEBOARD,INFORMATION,PETS,LASTUPDATE,LASTEDITOR,created_user,created_date,last_edited_user,last_edited_date,ORIG_FID,X,Y
16,26,Diffley Park,Parks & Trails,221 CRENSHAW ST,Sun-Sat,Daylight,4.04749155,http://www.funinmontgomery.com/parks-items/diffley-park,0,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,2013/08/21 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,17,-86.33152682,32.37396612
17,27,Dr. Robert B. Adams Park,Parks & Trails,440 RICHARDSON RD,Sun-Sat,Daylight,1.49368355,http://www.funinmontgomery.com/parks-items/dr-robert-b-adams,0,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,2013/08/21 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,19,-86.3977353,32.31046518
18,28,E.A.T. South Downtown Farm,Parks & Trails,530 MAXWELL BLVD,Sun-Sat,Daylight,2.06070962,http://www.eatsouth.org/,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,2013/08/27 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,75,-86.31773466,32.37829484
19,32,Exchange Club Park East Montgomery,Parks & Trails,850 COLISEUM BLVD,Sun-Sat,Daylight,10.01333692,http://www.funinmontgomery.com/parks-items/east-montgomery-exchange-park,0,Y,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,1,1,N,N,N,N,N,2013/08/21 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,20,-86.25872651,32.40166017
20,33,Fairview Environmental Park,Parks & Trails,750 W Fairview Ave,Sun-Sat,Daylight,3.10373375,http://www.funinmontgomery.com/parks-items/fairview-environmental-park,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,2017/11/03 00:00:00+00,,shutcheson,2017/11/03 16:36:21+00,ABOWEN,2021/12/02 16:39:56+00,85,-86.3196421,32.35222288
21,34,Fitzgerald Park,Parks & Trails,840 FELDER AVE,Sun-Sat,Daylight,0.26378485,http://www.funinmontgomery.com/parks-items/fitzgerald-park,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2013/08/21 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,21,-86.29325561,32.3581375
22,36,"Forrest B. ""Buddy"" Watson Park",Parks & Trails,1801 TAYLOR RD,Sun-Sat,Daylight,30.02560334,http://www.funinmontgomery.com/parks-items/buddy-watson,230,Y,Y,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,7,7,N,N,N,N,N,2013/08/20 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,3,-86.17341662,32.34971348
23,37,Fox Hollow Park,Parks & Trails,4690 CHRYSTAN RD,Sun-Sat,Daylight,5.17404849,http://www.funinmontgomery.com/parks-items/fox-hollow-park,0,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,2013/08/21 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,24,-86.22617719,32.38021409
24,39,Gateway Park,Parks & Trails,2060 BOWMAN DR,Sun-Sat,Daylight,191.44421616,http://www.funinmontgomery.com/parks-items/gateway-park,0,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,Y,3,4,4,N,N,N,Y,Y,2013/08/21 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,25,-86.32769965,32.3342348
25,41,Goodwyn Park (Ball Fields),Parks & Trails,205 PERRY HILL RD,Sun-Sat,Daylight,25.72533904,http://www.funinmontgomery.com/parks-items/Goodwyn,200,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,1,7,7,Y,N,N,N,N,2013/08/21 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,26,-86.24184234,32.37923431
26,44,Hayneville Road Park,Parks & Trails,2900 PATRICK RD,Sun-Sat,Daylight,14.81495422,http://www.funinmontgomery.com/parks-items/hayneville-road-park,0,Y,Y,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,Y,2013/08/22 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,27,-86.36491077,32.34823649
27,46,Homeview Park,Parks & Trails,3201 DAY ST,Sun-Sat,Daylight,0.62744382,http://www.funinmontgomery.com/parks-items/homeview-park,0,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,2013/08/22 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,29,-86.34378966,32.36867365
28,49,Hyde Park (Burbank),Parks & Trails,5816 HYDE PARK DR,Sun-Sat,Daylight,5.90241147,http://www.funinmontgomery.com/parks-items/hyde-park-burbank,0,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,2013/08/22 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,32,-86.19976915,32.39681639
29,50,Ida Belle Young Park,Parks & Trails,5400 VAUGHN RD,Sun-Sat,Daylight,23.92014932,http://www.funinmontgomery.com/parks-items/ida-belle-young-park,200,Y,Y,N,N,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,Y,Y,2013/08/22 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,33,-86.21358751,32.33993164
30,51,Jackson Ferry Road Park,Parks & Trails,1785 JACKSON FERRY RD,Sun-Sat,Daylight,2.38435014,http://www.funinmontgomery.com/parks-items/jackson-ferry-road-park,0,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,2013/08/22 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,34,-86.30430996,32.40889915
31,52,James A. Shannon Park (Mobile Heights),Parks & Trails,2220 W EDGEMONT AVE,Sun-Sat,Daylight,5.59178637,http://www.funinmontgomery.com/parks-items/james-a-shannon-mobile-heights,0,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,1,N,N,Y,Y,N,N,Y,2013/08/22 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,35,-86.3281643,32.34529539
32,54,Kiwanis Park,Parks & Trails,400 N HULL ST,Sun-Sat,Daylight,1.64480729,http://www.funinmontgomery.com/parks-items/kiwanis-park,14,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,2013/08/23 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,37,-86.30442459,32.3826873
33,55,Lagoon Park,Parks & Trails,2855 LAGOON PARK DR,Sun-Sat,Daylight,304.4106599,http://www.funinmontgomery.com/parks-items/lagoon-park,1100,Y,Y,N,N,Y,Y,Y,N,N,Y,N,Y,Y,N,N,6,6,N,Y,N,Y,Y,2017/11/03 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,38,-86.22209837,32.40581582
34,57,LeGrande Park,Parks & Trails,550 LAGRANDE PL,Sun-Sat,Daylight,2.4178512,http://www.funinmontgomery.com/parks-items/legrande-park,0,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2013/08/23 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,40,-86.29914502,32.35235166
35,58,Leu Hammonds Park (Southlawn),Parks & Trails,389 GREENLEAF DR,Sun-Sat,Daylight,16.82122148,http://www.funinmontgomery.com/parks-items/southlawn-park,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,2,N,N,N,N,Y,2013/08/27 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,57,-86.34131239,32.30215162
36,59,Louis Armstrong Memorial Park,Parks & Trails,1849 MADISON AVE,Sun-Sat,Daylight,0.81847491,http://www.funinmontgomery.com/parks-items/louis-armstrong-park,0,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,2013/08/23 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,42,-86.28189289,32.38087935
37,61,Lower Dexter Park,Parks & Trails,29 DEXTER AVE,Sun-Sat,Daylight,0.08795697,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2018/06/15 00:00:00+00,SLH,shutcheson,2018/06/15 18:49:42+00,ABOWEN,2021/12/02 16:39:56+00,94,-86.30837031,32.37779765
38,64,Milo Howard Park,Parks & Trails,1800 Galena Ave,Sun-Sat,Daylight,0.07561464,http://www.funinmontgomery.com/parks-items/milo-haward-park,,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,2017/11/03 00:00:00+00,,shutcheson,2017/11/03 16:52:00+00,ABOWEN,2021/12/02 16:39:56+00,87,-86.29535678,32.35616903
39,72,Myrtlewood Drive Park,Parks & Trails,2069 MYRTLEWOOD DR,Sun-Sat,Daylight,2.53755687,http://www.funinmontgomery.com/parks-items/myrtlewood-drive,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2013/08/23 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,45,-86.27619929,32.34879869
40,74,Oak Park,Parks & Trails,1010 FOREST AVE,Sun-Sat,Daylight,39.86071024,http://www.funinmontgomery.com/parks-items/oak-park,0,Y,Y,N,N,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,Y,2013/08/27 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,47,-86.28899749,32.36854351
41,75,O'Connor Tennis Center,Parks & Trails,500 ANDERSON ST,Mon- Fri,8:00AM-5:00PM,5.85810585,http://www.funinmontgomery.com/parks-items/oconnor-tennis-center,0,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,2017/11/03 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,46,-86.28618308,32.37359489
42,79,Pecan Grove Park,Parks & Trails,PLANTERS RD,Sun-Sat,Daylight,1.87618369,http://www.funinmontgomery.com/parks-items/pecan-grove-park,0,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,2013/08/27 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,70,-86.21876388,32.39887332
43,80,Pete Peterson Lodge,Parks & Trails,2635 GUNTER PARK DR,Sun-Sat,Daylight,128.91479822,http://www.funinmontgomery.com/parks-items/pete-peterson-lodge,0,Y,Y,N,N,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,2017/11/03 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,39,-86.22494311,32.41502569
44,81,Peter Crump Park,Parks & Trails,3480 WOODLEY RD,Sun-Sat,Daylight,24.86111523,http://www.funinmontgomery.com/parks-items/peter-crump,0,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,3,3,N,N,N,N,N,2017/11/03 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,51,-86.26212419,32.31388866
45,82,Powder Magazine Boat Launch and Park,Parks & Trails,228 EUGENE ST,Sun-Sat,Daylight,52.69683647,http://www.funinmontgomery.com/parks-items/powder-magazine,0,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2013/08/27 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,74,-86.33129148,32.38308443
46,83,Regency Park Community Center,Parks & Trails,5995 CHRISTY AVE,Sun-Sat,Daylight,17.34142735,,,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,1,1,Y,N,N,Y,N,2017/11/03 00:00:00+00,,shutcheson,2017/11/03 18:10:09+00,ABOWEN,2021/12/02 16:39:56+00,93,-86.22311938,32.30770932
47,84,Ridgecrest Park,Parks & Trails,2600 APRIL ST,Sun-Sat,Daylight,1.76638639,http://www.funinmontgomery.com/parks-items/ridgecrest-park,0,Y,Y,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,2013/08/27 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,52,-86.32247547,32.33982572
48,86,Riverfront Park,Parks & Trails,335 COOSA ST,Sun-Sat,Daylight,3.88793104,http://www.funinmontgomery.com/parks-items/riverfront-park,0,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,2013/08/27 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,53,-86.31346666,32.38194634
49,88,Rosa L. Parks Park,Parks & Trails,4610 ROSA PARKS AVE,Sun-Sat,Daylight,1.73251191,http://www.funinmontgomery.com/parks-items/rosa-l-parks-park,0,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2013/08/27 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,54,-86.31655493,32.32290317
50,91,Rotary Dog Park,Parks & Trails,98 COOSA ST,Sun-Sat,Daylight,0.61481407,http://www.funinmontgomery.com/parks-items/rotary-park,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2013/08/27 00:00:00+00,SLH,shutcheson,2018/06/26 19:33:08+00,ABOWEN,2021/12/02 16:39:56+00,95,-86.3089924,32.37937005
51,92,Seth Johnson Park,Parks & Trails,4556 NARROW LANE RD,Sun-Sat,Daylight,6.96804308,http://www.funinmontgomery.com/parks-items/seth-johnson,128,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,3,3,N,N,N,N,Y,2013/08/27 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,55,-86.28468452,32.31668428
52,93,Shady Street Trailhead Park,Parks & Trails,1037 Walker St,,,3.61239109,,,,,,,,,,,,,,,,,,,,,,,,,2021/12/02 00:00:00+00,ANB - New Park Under Construction,ABOWEN,2021/12/02 16:04:48+00,ABOWEN,2021/12/08 16:59:01+00,96,-86.31387685,32.39320018
53,102,Thomas Calhoun Jr. Park (Twin Gates),Parks & Trails,3810 CORETTA DR,Sun-Sat,Daylight,7.88453514,http://www.funinmontgomery.com/parks-items/calhoun-park-twin-gates,50,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,1,N,Y,N,N,N,Y,2013/08/27 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,60,-86.38152476,32.31565334
54,103,Thompson Park,Parks & Trails,1655 RAY THORINGTON RD,Sun-Sat,Daylight,44.13901947,http://www.funinmontgomery.com/parks-items/thompson-park,300,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,10,10,N,N,N,N,Y,2013/08/27 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,58,-86.13025264,32.31356619
55,104,Tuscaloosa Park,Parks & Trails,731 GENETTA CT,Sun-Sat,Daylight,0.78595706,http://www.funinmontgomery.com/parks-items/tuscaloosa-park,0,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,2013/08/27 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,59,-86.29803565,32.36708868
56,106,Vaughn Road Park ,Parks & Trails,3620 VAUGHN RD,Sun-Sat,Daylight,20.02491381,http://www.funinmontgomery.com/parks-items/vaughn-road-park,60,Y,Y,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,2017/11/03 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,61,-86.24649727,32.35112473
57,107,Vickers Park ,Parks & Trails,153 S MADISON TER,Sun-Sat,Daylight,0.77136174,http://www.funinmontgomery.com/parks-items/vickers-park,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2013/08/27 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,62,-86.2829037,32.3783076
58,108,Virginia Estates Park,Parks & Trails,PEABODY RD,Sun-Sat,Daylight,17.96695598,http://www.funinmontgomery.com/parks-items/virginia-estates-park,0,N,Y,N,N,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,2013/08/27 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,63,-86.24623719,32.31529618
59,110,Wares Ferry Park,Parks & Trails,6425 WARES FERRY RD,Sun-Sat,Daylight,22.93243578,http://www.funinmontgomery.com/parks-items/wares-ferry-park,0,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,2017/11/03 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,64,-86.18981137,32.40277324
60,111,Washington Park ,Parks & Trails,2330 DOROTHY ST,Sun-Sat,Daylight,4.91472825,http://www.funinmontgomery.com/parks-items/washington-park,30,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,2017/11/03 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,65,-86.33126224,32.3576938
61,112,Western Hills Park,Parks & Trails,2325 CLARENCE LEE DR,Sun-Sat,Daylight,3.11122894,http://www.funinmontgomery.com/parks-items/western-hills-park,70,Y,Y,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,2017/11/03 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,66,-86.33098808,32.36537721
62,114,Woodcrest Park,Parks & Trails,4325 THORNWOOD RD,Sun-Sat,Daylight,22.03367568,http://www.funinmontgomery.com/parks-items/woodcrest-park,50,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,1,1,Y,Y,N,Y,Y,2013/08/27 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,67,-86.36832116,32.31399913
63,115,Woodmere Park,Parks & Trails,5881 WOODMERE BLVD,Sun-Sat,Daylight,27.53978295,http://www.funinmontgomery.com/parks-items/woodmere-park,0,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,1,N,N,N,N,N,Y,2017/11/03 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,68,-86.20638339,32.35570603
64,116,Wright Brothers Park,Parks & Trails,544 MAXWELL BLVD,Sun-Sat,Daylight,2.39295277,http://www.funinmontgomery.com/parks-items/overlook-park,0,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2013/08/27 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,49,-86.31872994,32.37778651
